index,key,values,population,seasons
0,"Green Bay, WI","[{'year': 1929, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1930, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1931, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1936, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1939, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1944, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1961, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1962, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1965, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1966, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1967, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1968, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 1997, 'team': 'Green Bay Packers', 'sport': 'nfl'}, {'year': 2011, 'team': 'Green Bay Packers', 'sport': 'nfl'}]",320050,"{'mlb': 0, 'nba': 0, 'nfl': 97, 'nhl': 0, 'mls': 0, 'cfl': 0, 'baseball_m': 0, 'basketball_m': 37, 'basketball_w': 34, 'football_m': 0, 'soccer_w': 19, 'volleyball_w': 21}"
1,"Sarnia, ON","[{'year': 1934, 'team': 'Sarnia Imperials', 'sport': 'cfl'}, {'year': 1936, 'team': 'Sarnia Imperials', 'sport': 'cfl'}]",96151,"{'mlb': 0, 'nba': 0, 'nfl': 0, 'nhl': 0, 'mls': 0, 'cfl': 22, 'baseball_m': 0, 'basketball_m': 0, 'basketball_w': 0, 'football_m': 0, 'soccer_w': 0, 'volleyball_w': 0}"
2,"Hamilton, ON","[{'year': 1912, 'team': 'Hamilton Alerts', 'sport': 'cfl'}, {'year': 1913, 'team': 'Hamilton Tigers', 'sport': 'cfl'}, {'year': 1915, 'team': 'Hamilton Tigers', 'sport': 'cfl'}, {'year': 1928, 'team': 'Hamilton Tigers', 'sport': 'cfl'}, {'year': 1929, 'team': 'Hamilton Tigers', 'sport': 'cfl'}, {'year': 1932, 'team': 'Hamilton Tigers', 'sport': 'cfl'}, {'year': 1943, 'team': 'Hamilton Flying Wildcats', 'sport': 'cfl'}, {'year': 1953, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}, {'year': 1957, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}, {'year': 1963, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}, {'year': 1965, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}, {'year': 1967, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}, {'year': 1972, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}, {'year': 1986, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}, {'year': 1999, 'team': 'Hamilton Tiger-Cats', 'sport': 'cfl'}]",747545,"{'mlb': 0, 'nba': 0, 'nfl': 0, 'nhl': 5, 'mls': 0, 'cfl': 113, 'baseball_m': 0, 'basketball_m': 0, 'basketball_w': 0, 'football_m': 0, 'soccer_w': 0, 'volleyball_w': 0}"
3,"Regina, SK","[{'year': 1966, 'team': 'Saskatchewan Roughriders', 'sport': 'cfl'}, {'year': 1989, 'team': 'Saskatchewan Roughriders', 'sport': 'cfl'}, {'year': 2007, 'team': 'Saskatchewan Roughriders', 'sport': 'cfl'}, {'year': 2013, 'team': 'Saskatchewan Roughriders', 'sport': 'cfl'}]",236481,"{'mlb': 0, 'nba': 0, 'nfl': 0, 'nhl': 0, 'mls': 0, 'cfl': 102, 'baseball_m': 0, 'basketball_m': 0, 'basketball_w': 0, 'football_m': 0, 'soccer_w': 0, 'volleyball_w': 0}"
4,"Edmonton, AB","[{'year': 1954, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1955, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1956, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1975, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1978, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1979, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1980, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1981, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1982, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1984, 'team': 'Edmonton Oilers', 'sport': 'nhl'}, {'year': 1985, 'team': 'Edmonton Oilers', 'sport': 'nhl'}, {'year': 1987, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 1987, 'team': 'Edmonton Oilers', 'sport': 'nhl'}, {'year': 1988, 'team': 'Edmonton Oilers', 'sport': 'nhl'}, {'year': 1990, 'team': 'Edmonton Oilers', 'sport': 'nhl'}, {'year': 1993, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 2003, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 2005, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}, {'year': 2015, 'team': 'Edmonton Eskimos', 'sport': 'cfl'}]",1321426,"{'mlb': 0, 'nba': 0, 'nfl': 0, 'nhl': 39, 'mls': 0, 'cfl': 79, 'baseball_m': 0, 'basketball_m': 0, 'basketball_w': 0, 'football_m': 0, 'soccer_w': 0, 'volleyball_w': 0}"
5,"Winnipeg, MB","[{'year': 1935, 'team': 'Winnipeg ‘Pegs', 'sport': 'cfl'}, {'year': 1939, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1941, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1958, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1959, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1961, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1962, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1984, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1988, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}, {'year': 1990, 'team': 'Winnipeg Blue Bombers', 'sport': 'cfl'}]",778489,"{'mlb': 0, 'nba': 0, 'nfl': 0, 'nhl': 25, 'mls': 0, 'cfl': 100, 'baseball_m': 0, 'basketball_m': 0, 'basketball_w': 0, 'football_m': 0, 'soccer_w': 0, 'volleyball_w': 0}"
6,"Ottawa, ON","[{'year': 1925, 'team': 'Ottawa Senators', 'sport': 'cfl'}, {'year': 1926, 'team': 'Ottawa Senators', 'sport': 'cfl'}, {'year': 1940, 'team': 'Ottawa Rough Riders', 'sport': 'cfl'}, {'year': 1951, 'team': 'Ottawa Rough Riders', 'sport': 'cfl'}, {'year': 1960, 'team': 'Ottawa Rough Riders', 'sport': 'cfl'}, {'year': 1968, 'team': 'Ottawa Rough Riders', 'sport': 'cfl'}, {'year': 1969, 'team': 'Ottawa Rough Riders', 'sport': 'cfl'}, {'year': 1973, 'team': 'Ottawa Rough Riders', 'sport': 'cfl'}, {'year': 1976, 'team': 'Ottawa Rough Riders', 'sport': 'cfl'}, {'year': 2016, 'team': 'Ottawa Redblacks', 'sport': 'cfl'}]",1323783,"{'mlb': 0, 'nba': 0, 'nfl': 0, 'nhl': 43, 'mls': 0, 'cfl': 91, 'baseball_m': 0, 'basketball_m': 0, 'basketball_w': 0, 'football_m': 0, 'soccer_w': 0, 'volleyball_w': 0}"
7,"Montreal, QC","[{'year': 1919, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1924, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1925, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1926, 'team': 'Montreal Maroons', 'sport': 'nhl'}, {'year': 1930, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1931, 'team': 'Montreal AAA Winged Wheelers', 'sport': 'cfl'}, {'year': 1931, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1935, 'team': 'Montreal Maroons', 'sport': 'nhl'}, {'year': 1944, 'team': 'St. Hyacinthe-Donnacona Navy', 'sport': 'cfl'}, {'year': 1944, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1946, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1949, 'team': 'Montreal Alouettes', 'sport': 'cfl'}, {'year': 1953, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1956, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1957, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1958, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1959, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1960, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1965, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1966, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1968, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1969, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1970, 'team': 'Montreal Alouettes', 'sport': 'cfl'}, {'year': 1971, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1973, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1974, 'team': 'Montreal Alouettes', 'sport': 'cfl'}, {'year': 1976, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1977, 'team': 'Montreal Alouettes', 'sport': 'cfl'}, {'year': 1977, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1978, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1979, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1986, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 1993, 'team': 'Montreal Canadiens', 'sport': 'nhl'}, {'year': 2002, 'team': 'Montreal Alouettes', 'sport': 'cfl'}, {'year': 2009, 'team': 'Montreal Alouettes', 'sport': 'cfl'}, {'year': 2010, 'team': 'Montreal Alouettes', 'sport': 'cfl'}]",4098927,"{'mlb': 36, 'nba': 0, 'nfl': 0, 'nhl': 116, 'mls': 6, 'cfl': 82, 'baseball_m': 0, 'basketball_m': 0, 'basketball_w': 0, 'football_m': 0, 'soccer_w': 0, 'volleyball_w': 0}"
8,"Greater Boston, MA","[{'year': 1876, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1891, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1899, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1900, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1903, 'team': 'Boston Americans', 'sport': 'mlb'}, {'year': 1911, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1912, 'team': 'Boston Red Sox', 'sport': 'mlb'}, {'year': 1913, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1914, 'team': 'Boston Braves', 'sport': 'mlb'}, {'year': 1914, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1915, 'team': 'Boston Red Sox', 'sport': 'mlb'}, {'year': 1916, 'team': 'Boston Red Sox', 'sport': 'mlb'}, {'year': 1918, 'team': 'Boston Red Sox', 'sport': 'mlb'}, {'year': 1920, 'team': 'Harvard Crimson', 'sport': 'football_m'}, {'year': 1929, 'team': 'Boston Bruins', 'sport': 'nhl'}, {'year': 1939, 'team': 'Boston Bruins', 'sport': 'nhl'}, {'year': 1941, 'team': 'Boston Bruins', 'sport': 'nhl'}, {'year': 1957, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1959, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1960, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1961, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1962, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1963, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1964, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1965, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1966, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1968, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1969, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1970, 'team': 'Boston Bruins', 'sport': 'nhl'}, {'year': 1972, 'team': 'Boston Bruins', 'sport': 'nhl'}, {'year': 1974, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1976, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1981, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1984, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 1986, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 2002, 'team': 'New England Patriots', 'sport': 'nfl'}, {'year': 2004, 'team': 'Boston Red Sox', 'sport': 'mlb'}, {'year': 2004, 'team': 'New England Patriots', 'sport': 'nfl'}, {'year': 2005, 'team': 'New England Patriots', 'sport': 'nfl'}, {'year': 2007, 'team': 'Boston Red Sox', 'sport': 'mlb'}, {'year': 2008, 'team': 'Boston Celtics', 'sport': 'nba'}, {'year': 2011, 'team': 'Boston Bruins', 'sport': 'nhl'}, {'year': 2013, 'team': 'Boston Red Sox', 'sport': 'mlb'}, {'year': 2015, 'team': 'New England Patriots', 'sport': 'nfl'}, {'year': 2017, 'team': 'New England Patriots', 'sport': 'nfl'}, {'year': 2018, 'team': 'Boston Red Sox', 'sport': 'mlb'}]",4836531,"{'mlb': 166, 'nba': 72, 'nfl': 69, 'nhl': 94, 'mls': 22, 'cfl': 0, 'baseball_m': 185, 'basketball_m': 280, 'basketball_w': 151, 'football_m': 236, 'soccer_w': 80, 'volleyball_w': 65}"
9,"Pittsburgh, PA","[{'year': 1909, 'team': 'Pittsburgh Pirates', 'sport': 'mlb'}, {'year': 1911, 'team': 'Pittsburgh Panthers', 'sport': 'football_m'}, {'year': 1917, 'team': 'Pittsburgh Panthers', 'sport': 'football_m'}, {'year': 1919, 'team': 'Pittsburgh Panthers', 'sport': 'football_m'}, {'year': 1925, 'team': 'Pittsburgh Pirates', 'sport': 'mlb'}, {'year': 1938, 'team': 'Pittsburgh Panthers', 'sport': 'football_m'}, {'year': 1960, 'team': 'Pittsburgh Pirates', 'sport': 'mlb'}, {'year': 1971, 'team': 'Pittsburgh Pirates', 'sport': 'mlb'}, {'year': 1975, 'team': 'Pittsburgh Steelers', 'sport': 'nfl'}, {'year': 1976, 'team': 'Pittsburgh Steelers', 'sport': 'nfl'}, {'year': 1977, 'team': 'Pittsburgh Panthers', 'sport': 'football_m'}, {'year': 1979, 'team': 'Pittsburgh Pirates', 'sport': 'mlb'}, {'year': 1979, 'team': 'Pittsburgh Steelers', 'sport': 'nfl'}, {'year': 1980, 'team': 'Pittsburgh Steelers', 'sport': 'nfl'}, {'year': 1991, 'team': 'Pittsburgh Penguins', 'sport': 'nhl'}, {'year': 1992, 'team': 'Pittsburgh Penguins', 'sport': 'nhl'}, {'year': 2006, 'team': 'Pittsburgh Steelers', 'sport': 'nfl'}, {'year': 2009, 'team': 'Pittsburgh Steelers', 'sport': 'nfl'}, {'year': 2009, 'team': 'Pittsburgh Penguins', 'sport': 'nhl'}, {'year': 2016, 'team': 'Pittsburgh Penguins', 'sport': 'nhl'}, {'year': 2017, 'team': 'Pittsburgh Penguins', 'sport': 'nhl'}]",2333367,"{'mlb': 116, 'nba': 1, 'nfl': 86, 'nhl': 56, 'mls': 0, 'cfl': 0, 'baseball_m': 87, 'basketball_m': 201, 'basketball_w': 107, 'football_m': 178, 'soccer_w': 57, 'volleyball_w': 63}"
