level_0,index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
0,1,1870,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
1,2,1870,college,Football (M),Rutgers Scarlet Knights,"New Brunswick, NJ",,,,,,
2,3,1871,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
3,4,1873,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
4,5,1874,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
5,6,1875,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
6,7,1876,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
7,8,1877,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
8,9,1878,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
9,10,1879,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
10,11,1880,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
11,12,1881,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
12,13,1881,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
13,14,1882,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
14,15,1883,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
15,16,1884,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
16,17,1885,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
17,18,1886,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
18,19,1887,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
19,20,1888,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
20,21,1889,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
21,22,1890,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
22,23,1891,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
23,24,1892,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
24,25,1893,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
25,26,1894,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
26,27,1895,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
27,28,1896,college,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,
28,29,1897,college,Football (M),Lafayette Leopards,"Lehigh Valley, NJ-PA",,,,,,
29,30,1897,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
30,31,1898,college,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,
31,32,1899,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
32,33,1900,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
33,34,1901,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
34,35,1902,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
35,36,1903,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
36,37,1903,pro,MLB,Boston Americans,"Greater Boston, MA",Pittsburgh Pirates,"Pittsburgh, PA",Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area
37,38,1904,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
38,39,1904,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
39,41,1905,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
40,42,1905,college,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,
41,43,1905,pro,MLB,New York Giants,New York Metro Area,Philadelphia Athletics,"Greater Philadelphia, PA",Chicago White Sox,"Chicago, IL",Pittsburgh Pirates,"Pittsburgh, PA"
42,44,1906,college,Football (M),Chicago Maroons,"Chicago, IL",,,,,,
43,45,1906,pro,MLB,Chicago White Sox,"Chicago, IL",Chicago Cubs,"Chicago, IL",New York Highlanders,New York Metro Area,New York Giants,New York Metro Area
44,46,1907,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
45,47,1907,pro,MLB,Chicago Cubs,"Chicago, IL",Detroit Tigers,"Metro Detroit, MI",Philadelphia Athletics,"Greater Philadelphia, PA",Pittsburgh Pirates,"Pittsburgh, PA"
46,48,1908,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
47,49,1908,pro,MLB,Chicago Cubs,"Chicago, IL",Detroit Tigers,"Metro Detroit, MI",Cleveland Naps,"Cleveland, OH",New York Giants,New York Metro Area
48,50,1909,college,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,
