Season,Team,Matches,Wins,Loss,Percentage
2001,Atlanta Hawks,82,33,49,0.402
2001,Boston Celtics,82,49,33,0.598
2001,Charlotte Hornets,82,44,38,0.537
2001,Chicago Bulls,82,21,61,0.256
2001,Cleveland Cavaliers,82,29,53,0.354
2001,Dallas Mavericks,82,57,25,0.695
2001,Denver Nuggets,82,27,55,0.329
2001,Detroit Pistons,82,50,32,0.61
2001,Golden State Warriors,82,21,61,0.256
2001,Houston Rockets,82,28,54,0.341
2001,Indiana Pacers,82,42,40,0.512
2001,Los Angeles Clippers,82,39,43,0.476
2001,Los Angeles Lakers,82,58,24,0.707
2001,Memphis Grizzlies,82,23,59,0.28
2001,Miami Heat,82,36,46,0.439
2001,Milwaukee Bucks,82,41,41,0.5
2001,Minnesota Timberwolves,82,50,32,0.61
2001,New Jersey Nets,82,52,30,0.634
2001,New York Knicks,82,30,52,0.366
2001,Seattle Supersonics,82,45,37,0.549
2001,Orlando Magic,82,44,38,0.537
2001,Philadelphia 76ers,82,43,39,0.524
2001,Phoenix Suns,82,36,46,0.439
2001,Portland Trail Blazers,82,49,33,0.598
2001,Sacramento Kings,82,61,21,0.744
2001,San Antonio Spurs,82,58,24,0.707
2001,Toronto Raptors,82,42,40,0.512
2001,Utah Jazz,82,44,38,0.537
2001,Washington Wizards,82,37,45,0.451
2002,Atlanta Hawks,82,35,47,0.427
2002,Boston Celtics,82,44,38,0.537
2002,Chicago Bulls,82,30,52,0.366
2002,Cleveland Cavaliers,82,17,65,0.207
2002,Dallas Mavericks,82,60,22,0.732
2002,Denver Nuggets,82,17,65,0.207
2002,Detroit Pistons,82,50,32,0.61
2002,Golden State Warriors,82,38,44,0.463
2002,Houston Rockets,82,43,39,0.524
2002,Indiana Pacers,82,48,34,0.585
2002,Los Angeles Clippers,82,27,55,0.329
2002,Los Angeles Lakers,82,50,32,0.61
2002,Memphis Grizzlies,82,28,54,0.341
2002,Miami Heat,82,25,57,0.305
2002,Milwaukee Bucks,82,42,40,0.512
2002,Minnesota Timberwolves,82,51,31,0.622
2002,New Jersey Nets,82,49,33,0.598
2002,New Orlenas Pelicans,82,47,35,0.573
2002,New York Knicks,82,37,45,0.451
2002,Seattle Supersonics,82,40,42,0.488
2002,Orlando Magic,82,42,40,0.512
2002,Philadelphia 76ers,82,48,34,0.585
2002,Phoenix Suns,82,44,38,0.537
2002,Portland Trail Blazers,82,50,32,0.61
2002,Sacramento Kings,82,59,23,0.72
2002,San Antonio Spurs,82,60,22,0.732
2002,Toronto Raptors,82,24,58,0.293
2002,Utah Jazz,82,47,35,0.573
2002,Washington Wizards,82,37,45,0.451
2003,Atlanta Hawks,82,28,54,0.341
2003,Boston Celtics,82,36,46,0.439
2003,Chicago Bulls,82,23,59,0.28
2003,Cleveland Cavaliers,82,35,47,0.427
2003,Dallas Mavericks,82,52,30,0.634
2003,Denver Nuggets,82,43,39,0.524
2003,Detroit Pistons,82,54,28,0.659
2003,Golden State Warriors,82,37,45,0.451
2003,Houston Rockets,82,45,37,0.549
2003,Indiana Pacers,82,61,21,0.744
2003,Los Angeles Clippers,82,28,54,0.341
2003,Los Angeles Lakers,82,56,26,0.683
2003,Memphis Grizzlies,82,50,32,0.61
2003,Miami Heat,82,42,40,0.512
2003,Milwaukee Bucks,82,41,41,0.5
2003,Minnesota Timberwolves,82,58,24,0.707
2003,New Jersey Nets,82,47,35,0.573
2003,New Orlenas Pelicans,82,41,41,0.5
2003,New York Knicks,82,39,43,0.476
2003,Seattle Supersonics,82,37,45,0.451
2003,Orlando Magic,82,21,61,0.256
2003,Philadelphia 76ers,82,33,49,0.402
2003,Phoenix Suns,82,29,53,0.354
2003,Portland Trail Blazers,82,41,41,0.5
2003,Sacramento Kings,82,55,27,0.671
2003,San Antonio Spurs,82,57,25,0.695
2003,Toronto Raptors,82,33,49,0.402
2003,Utah Jazz,82,42,40,0.512
2003,Washington Wizards,82,25,57,0.305
2004,Atlanta Hawks,82,13,69,0.159
2004,Boston Celtics,82,45,37,0.549
2004,Charlotte Hornets,82,18,64,0.22
2004,Chicago Bulls,82,47,35,0.573
2004,Cleveland Cavaliers,82,42,40,0.512
2004,Dallas Mavericks,82,58,24,0.707
2004,Denver Nuggets,82,49,33,0.598
2004,Detroit Pistons,82,54,28,0.659
2004,Golden State Warriors,82,34,48,0.415
2004,Houston Rockets,82,51,31,0.622
2004,Indiana Pacers,82,44,38,0.537
2004,Los Angeles Clippers,82,37,45,0.451
2004,Los Angeles Lakers,82,34,48,0.415
2004,Memphis Grizzlies,82,45,37,0.549
2004,Miami Heat,82,59,23,0.72
2004,Milwaukee Bucks,82,30,52,0.366
2004,Minnesota Timberwolves,82,44,38,0.537
2004,New Jersey Nets,82,42,40,0.512
2004,New Orlenas Pelicans,82,18,64,0.22
2004,New York Knicks,82,33,49,0.402
2004,Seattle Supersonics,82,52,30,0.634
2004,Orlando Magic,82,36,46,0.439
2004,Philadelphia 76ers,82,43,39,0.524
