Season,Team,Matches,Wins,Loss,Ties,Over_Time_Loss,Percentage
2006,Anaheim Ducks,82,48,20,,14,0.585
2007,Anaheim Ducks,82,47,27,,8,0.573
2008,Anaheim Ducks,82,42,33,,7,0.512
2009,Anaheim Ducks,82,39,32,,11,0.476
2010,Anaheim Ducks,82,47,30,,5,0.573
2011,Anaheim Ducks,82,34,36,,12,0.415
2012,Anaheim Ducks,48,30,12,,6,0.625
2013,Anaheim Ducks,82,54,20,,8,0.659
2014,Anaheim Ducks,82,51,24,,7,0.622
2015,Anaheim Ducks,82,46,25,,11,0.561
2016,Anaheim Ducks,82,46,23,,13,0.561
2017,Anaheim Ducks,82,44,25,,13,0.537
2018,Anaheim Ducks,82,35,37,,10,0.427
2014,Arizona Coyotes,82,24,50,,8,0.293
2015,Arizona Coyotes,82,35,39,,8,0.427
2016,Arizona Coyotes,82,30,42,,10,0.366
2017,Arizona Coyotes,82,29,41,,12,0.354
2018,Arizona Coyotes,82,39,35,,8,0.476
2001,Atlanta Thrashers,82,19,47,11,5,0.299
2002,Atlanta Thrashers,82,31,39,7,5,0.421
2003,Atlanta Thrashers,82,33,37,8,4,0.451
2005,Atlanta Thrashers,82,41,33,,8,0.5
2006,Atlanta Thrashers,82,43,28,,11,0.524
2007,Atlanta Thrashers,82,34,40,,8,0.415
2008,Atlanta Thrashers,82,35,41,,6,0.427
2009,Atlanta Thrashers,82,35,34,,13,0.427
2010,Atlanta Thrashers,82,34,36,,12,0.415
2001,Boston Bruins,82,43,24,6,9,0.561
2002,Boston Bruins,82,36,31,11,4,0.506
2003,Boston Bruins,82,41,19,15,7,0.591
2005,Boston Bruins,82,29,37,,16,0.354
2006,Boston Bruins,82,35,41,,6,0.427
2007,Boston Bruins,82,41,29,,12,0.5
2008,Boston Bruins,82,53,19,,10,0.646
2009,Boston Bruins,82,39,30,,13,0.476
2010,Boston Bruins,82,46,25,,11,0.561
2011,Boston Bruins,82,49,29,,4,0.598
2012,Boston Bruins,48,28,14,,6,0.583
2013,Boston Bruins,82,54,19,,9,0.659
2014,Boston Bruins,82,41,27,,14,0.5
2015,Boston Bruins,82,42,31,,9,0.512
2016,Boston Bruins,82,44,31,,7,0.537
2017,Boston Bruins,82,50,20,,12,0.61
2018,Boston Bruins,82,49,24,,9,0.598
2001,Buffalo Sabres,82,35,35,11,1,0.494
2002,Buffalo Sabres,82,27,37,10,8,0.39
2003,Buffalo Sabres,82,37,34,7,4,0.494
2005,Buffalo Sabres,82,52,24,,6,0.634
2006,Buffalo Sabres,82,53,22,,7,0.646
2007,Buffalo Sabres,82,39,31,,12,0.476
2008,Buffalo Sabres,82,41,32,,9,0.5
2009,Buffalo Sabres,82,45,27,,10,0.549
2010,Buffalo Sabres,82,43,29,,10,0.524
2011,Buffalo Sabres,82,39,32,,11,0.476
2012,Buffalo Sabres,48,21,21,,6,0.438
2013,Buffalo Sabres,82,21,51,,10,0.256
2014,Buffalo Sabres,82,23,51,,8,0.28
2015,Buffalo Sabres,82,35,36,,11,0.427
2016,Buffalo Sabres,82,33,37,,12,0.402
2017,Buffalo Sabres,82,25,45,,12,0.305
2018,Buffalo Sabres,82,33,39,,10,0.402
2001,Carolina Hurricanes,82,35,26,16,5,0.524
2002,Carolina Hurricanes,82,22,43,11,6,0.335
2003,Carolina Hurricanes,82,28,34,14,6,0.427
2005,Carolina Hurricanes,82,52,22,,8,0.634
2006,Carolina Hurricanes,82,40,34,,8,0.488
2007,Carolina Hurricanes,82,43,33,,6,0.524
2008,Carolina Hurricanes,82,45,30,,7,0.549
2009,Carolina Hurricanes,82,35,37,,10,0.427
2010,Carolina Hurricanes,82,40,31,,11,0.488
2011,Carolina Hurricanes,82,33,33,,16,0.402
2012,Carolina Hurricanes,48,19,25,,4,0.396
2013,Carolina Hurricanes,82,36,35,,11,0.439
2014,Carolina Hurricanes,82,30,41,,11,0.366
2015,Carolina Hurricanes,82,35,31,,16,0.427
2016,Carolina Hurricanes,82,36,31,,15,0.439
2017,Carolina Hurricanes,82,36,35,,11,0.439
2018,Carolina Hurricanes,82,46,29,,7,0.561
2001,Columbus Blue Jackets,82,22,47,8,5,0.317
2002,Columbus Blue Jackets,82,29,42,8,3,0.402
2003,Columbus Blue Jackets,82,25,45,8,4,0.354
2005,Columbus Blue Jackets,82,35,43,,4,0.427
2006,Columbus Blue Jackets,82,33,42,,7,0.402
2007,Columbus Blue Jackets,82,34,36,,12,0.415
2008,Columbus Blue Jackets,82,41,31,,10,0.5
2009,Columbus Blue Jackets,82,32,35,,15,0.39
2010,Columbus Blue Jackets,82,34,35,,13,0.415
2011,Columbus Blue Jackets,82,29,46,,7,0.354
2012,Columbus Blue Jackets,48,24,17,,7,0.5
2013,Columbus Blue Jackets,82,43,32,,7,0.524
2014,Columbus Blue Jackets,82,42,35,,5,0.512
2015,Columbus Blue Jackets,82,34,40,,8,0.415
2016,Columbus Blue Jackets,82,50,24,,8,0.61
2017,Columbus Blue Jackets,82,45,30,,7,0.549
2018,Columbus Blue Jackets,82,47,31,,4,0.573
2001,Calgary Flames,82,32,35,12,3,0.463
2002,Calgary Flames,82,29,36,13,4,0.433
2003,Calgary Flames,82,42,30,7,3,0.555
2005,Calgary Flames,82,46,25,,11,0.561
2006,Calgary Flames,82,43,29,,10,0.524
2007,Calgary Flames,82,42,30,,10,0.512
2008,Calgary Flames,82,46,30,,6,0.561
2009,Calgary Flames,82,40,32,,10,0.488
2010,Calgary Flames,82,41,29,,12,0.5
2011,Calgary Flames,82,37,29,,16,0.451
2012,Calgary Flames,48,19,25,,4,0.396
2013,Calgary Flames,82,35,40,,7,0.427
2014,Calgary Flames,82,45,30,,7,0.549
2015,Calgary Flames,82,35,40,,7,0.427
2016,Calgary Flames,82,45,33,,4,0.549
2017,Calgary Flames,82,37,35,,10,0.451
2018,Calgary Flames,82,50,25,,7,0.61
2001,Chicago Blackhawks,82,41,27,13,1,0.579
2002,Chicago Blackhawks,82,30,33,13,6,0.445
2003,Chicago Blackhawks,82,20,43,11,8,0.311
2005,Chicago Blackhawks,82,26,43,,13,0.317
2006,Chicago Blackhawks,82,31,42,,9,0.378
2007,Chicago Blackhawks,82,40,34,,8,0.488
2008,Chicago Blackhawks,82,46,24,,12,0.561
2009,Chicago Blackhawks,82,52,22,,8,0.634
2010,Chicago Blackhawks,82,44,29,,9,0.537
