Season,Wins,Loss,Team,Matches,Percentage
2001,75,87,Los Angeles Angels,162,0.463
2001,92,70,Arizona Diamondbacks,162,0.568
2001,88,74,Atlanta Braves,162,0.543
2001,63,98,Baltimore Orioles,161,0.391
2001,82,79,Boston Red Sox,161,0.509
2001,83,79,Chicago White Sox,162,0.512
2001,88,74,Chicago Cubs,162,0.543
2001,66,96,Cincinnati Reds,162,0.407
2001,91,71,Cleveland Indians,162,0.562
2001,73,89,Colorado Rockies,162,0.451
2001,66,96,Detroit Tigers,162,0.407
2001,76,86,Florida Marlins,162,0.469
2001,93,69,Houston Astros,162,0.574
2001,65,97,Kansas City Royals,162,0.401
2001,86,76,Los Angeles Dodgers,162,0.531
2001,68,94,Milwaukee Brewers,162,0.420
2001,85,77,Minnesota Twins,162,0.525
2001,68,94,Montreal Expos,162,0.420
2001,95,65,New York Yankees,160,0.594
2001,82,80,New York Mets,162,0.506
2001,102,60,Oakland Athletics,162,0.630
2001,86,76,Philadelphia Phillies,162,0.531
2001,62,100,Pittsburgh Pirates,162,0.383
2001,79,83,San Diego Padres,162,0.488
2001,116,46,Seattle Mariners,162,0.716
2001,90,72,San Francisco Giants,162,0.556
2001,93,69,St. Louis Cardinals,162,0.574
2001,62,100,Tampa Bay Devil Rays,162,0.383
2001,73,89,Texas Rangers,162,0.451
2001,80,82,Toronto Blue Jays,162,0.494
2002,99,63,Los Angeles Angels,162,0.611
2002,98,64,Arizona Diamondbacks,162,0.605
2002,101,59,Atlanta Braves,160,0.631
2002,67,95,Baltimore Orioles,162,0.414
2002,93,69,Boston Red Sox,162,0.574
2002,81,81,Chicago White Sox,162,0.500
2002,67,95,Chicago Cubs,162,0.414
2002,78,84,Cincinnati Reds,162,0.481
2002,74,88,Cleveland Indians,162,0.457
2002,73,89,Colorado Rockies,162,0.451
2002,55,106,Detroit Tigers,161,0.342
2002,79,83,Florida Marlins,162,0.488
2002,84,78,Houston Astros,162,0.519
2002,62,100,Kansas City Royals,162,0.383
2002,92,70,Los Angeles Dodgers,162,0.568
2002,56,106,Milwaukee Brewers,162,0.346
2002,94,67,Minnesota Twins,161,0.584
2002,83,79,Montreal Expos,162,0.512
2002,103,58,New York Yankees,161,0.640
2002,75,86,New York Mets,161,0.466
2002,103,59,Oakland Athletics,162,0.636
2002,80,81,Philadelphia Phillies,161,0.497
2002,72,89,Pittsburgh Pirates,161,0.447
2002,66,96,San Diego Padres,162,0.407
2002,93,69,Seattle Mariners,162,0.574
2002,95,66,San Francisco Giants,161,0.590
2002,97,65,St. Louis Cardinals,162,0.599
2002,55,106,Tampa Bay Devil Rays,161,0.342
2002,72,90,Texas Rangers,162,0.444
2002,78,84,Toronto Blue Jays,162,0.481
2003,77,85,Los Angeles Angels,162,0.475
2003,84,78,Arizona Diamondbacks,162,0.519
2003,101,61,Atlanta Braves,162,0.623
2003,71,91,Baltimore Orioles,162,0.438
2003,95,67,Boston Red Sox,162,0.586
2003,86,76,Chicago White Sox,162,0.531
2003,88,74,Chicago Cubs,162,0.543
2003,69,93,Cincinnati Reds,162,0.426
2003,68,94,Cleveland Indians,162,0.420
2003,74,88,Colorado Rockies,162,0.457
2003,43,119,Detroit Tigers,162,0.265
2003,91,71,Florida Marlins,162,0.562
2003,87,75,Houston Astros,162,0.537
2003,83,79,Kansas City Royals,162,0.512
2003,85,77,Los Angeles Dodgers,162,0.525
2003,68,94,Milwaukee Brewers,162,0.420
2003,90,72,Minnesota Twins,162,0.556
2003,83,79,Montreal Expos,162,0.512
2003,101,61,New York Yankees,162,0.623
2003,66,95,New York Mets,161,0.410
2003,96,66,Oakland Athletics,162,0.593
2003,86,76,Philadelphia Phillies,162,0.531
2003,75,87,Pittsburgh Pirates,162,0.463
2003,64,98,San Diego Padres,162,0.395
2003,93,69,Seattle Mariners,162,0.574
2003,100,61,San Francisco Giants,161,0.621
2003,85,77,St. Louis Cardinals,162,0.525
2003,63,99,Tampa Bay Devil Rays,162,0.389
2003,71,91,Texas Rangers,162,0.438
2003,86,76,Toronto Blue Jays,162,0.531
2004,92,70,Los Angeles Angels,162,0.568
2004,51,111,Arizona Diamondbacks,162,0.315
2004,96,66,Atlanta Braves,162,0.593
2004,78,84,Baltimore Orioles,162,0.481
2004,98,64,Boston Red Sox,162,0.605
2004,83,79,Chicago White Sox,162,0.512
2004,89,73,Chicago Cubs,162,0.549
2004,76,86,Cincinnati Reds,162,0.469
2004,80,82,Cleveland Indians,162,0.494
2004,68,94,Colorado Rockies,162,0.420
2004,72,90,Detroit Tigers,162,0.444
2004,83,79,Florida Marlins,162,0.512
2004,92,70,Houston Astros,162,0.568
2004,58,104,Kansas City Royals,162,0.358
2004,93,69,Los Angeles Dodgers,162,0.574
2004,67,94,Milwaukee Brewers,161,0.416
2004,92,70,Minnesota Twins,162,0.568
2004,67,95,Montreal Expos,162,0.414
2004,101,61,New York Yankees,162,0.623
2004,71,91,New York Mets,162,0.438
2004,91,71,Oakland Athletics,162,0.562
2004,86,76,Philadelphia Phillies,162,0.531
2004,72,89,Pittsburgh Pirates,161,0.447
2004,87,75,San Diego Padres,162,0.537
2004,63,99,Seattle Mariners,162,0.389
2004,91,71,San Francisco Giants,162,0.562
2004,105,57,St. Louis Cardinals,162,0.648
