,City,Year,Win%,Win% Dif,Win% Dif Value,Productivity,Productivity% Dif,Productivity% Dif Value
18,Boston,2001,0.556,0.00,0.00,138384,0.00,0.00
19,Boston,2002,0.539,-3.15,-3.15,138822,0.32,0.32
20,Boston,2003,0.538666667,-0.06,-0.06,142605,2.65,2.65
21,Boston,2004,0.577,6.64,6.64,146543,2.69,2.69
22,Boston,2005,0.447333333,-28.99,-28.99,149508,1.98,1.98
23,Boston,2006,0.417,-7.27,-7.27,151425,1.27,1.27
24,Boston,2007,0.632666667,34.09,34.09,154428,1.94,1.94
25,Boston,2008,0.662666667,4.53,4.53,154967,0.35,0.35
26,Boston,2009,0.557333333,-18.90,-18.90,158633,2.31,2.31
27,Boston,2010,0.597666667,6.75,6.75,163476,2.96,2.96
28,Boston,2011,0.581666667,-2.75,-2.75,163597,0.07,0.07
29,Boston,2012,0.505,-15.18,-15.18,165308,1.04,1.04
30,Boston,2013,0.521,3.07,3.07,165497,0.11,0.11
31,Boston,2014,0.475333333,-9.61,-9.61,164309,-0.72,-0.72
32,Boston,2015,0.526,9.63,9.63,170017,3.36,3.36
33,Boston,2016,0.585666667,10.19,10.19,171179,0.68,0.68
34,Boston,2017,0.618333333,5.28,5.28,168938,-1.33,-1.33
35,Boston,2018,0.621,0.43,0.43,170964,1.19,1.19
53,Charlotte,2001,0.3,0.00,0.00,118766,0.00,0.00
54,Charlotte,2002,0.438,31.51,31.51,122307,2.90,2.90
55,Charlotte,2003,0.688,36.34,36.34,125829,2.80,2.80
56,Charlotte,2004,0.329,-109.12,-109.12,132584,5.09,5.09
57,Charlotte,2005,0.5025,34.53,34.53,139491,4.95,4.95
58,Charlotte,2006,0.451,-11.42,-11.42,143128,2.54,2.54
59,Charlotte,2007,0.414,-8.94,-8.94,142228,-0.63,-0.63
60,Charlotte,2008,0.5885,29.65,29.65,149956,5.15,5.15
61,Charlotte,2009,0.5185,-13.50,-13.50,144236,-3.97,-3.97
62,Charlotte,2010,0.27,-92.04,-92.04,130403,-10.61,-10.61
63,Charlotte,2011,0.2405,-12.27,-12.27,133239,2.13,2.13
64,Charlotte,2012,0.347,30.69,30.69,137617,3.18,3.18
65,Charlotte,2013,0.637,45.53,45.53,133493,-3.09,-3.09
66,Charlotte,2014,0.4355,-46.27,-46.27,133691,0.15,0.15
67,Charlotte,2015,0.7615,42.81,42.81,136343,1.95,1.95
68,Charlotte,2016,0.407,-87.10,-87.10,136760,0.30,0.30
69,Charlotte,2017,0.5635,27.77,27.77,141572,3.40,3.40
70,Charlotte,2018,0.457,-23.30,-23.30,140677,-0.64,-0.64
125,Dallas,2001,0.50175,0.00,0.00,106503,0.00,0.00
126,Dallas,2002,0.56275,10.84,10.84,110113,3.28,3.28
127,Dallas,2003,0.53025,-6.13,-6.13,111319,1.08,1.08
128,Dallas,2004,0.505,-5.00,-5.00,114895,3.11,3.11
129,Dallas,2005,0.622,18.81,18.81,117501,2.22,2.22
130,Dallas,2006,0.63825,2.55,2.55,123672,4.99,4.99
131,Dallas,2007,0.62525,-2.08,-2.08,125875,1.75,1.75
132,Dallas,2008,0.51975,-20.30,-20.30,126970,0.86,0.86
133,Dallas,2009,0.56925,8.70,8.70,121980,-4.09,-4.09
134,Dallas,2010,0.55375,-2.80,-2.80,121776,-0.17,-0.17
135,Dallas,2011,0.52525,-5.43,-5.43,123209,1.16,1.16
136,Dallas,2012,0.47475,-10.64,-10.64,124047,0.68,0.68
