Rk,Season▲,Team,W,G,W,L,T,W-L%,Pts,PtsO,PtDif
1,2001,BAL,10,16,10,6,0,0.625,303,265,38
2,2001,OAK,10,16,10,6,0,0.625,399,327,72
3,2001,NYJ,10,16,10,6,0,0.625,308,295,13
4,2001,PHI,11,16,11,5,0,0.688,343,208,135
5,2001,NWE,11,16,11,5,0,0.688,371,272,99
6,2001,MIA,11,16,11,5,0,0.688,344,290,54
7,2001,SFO,12,16,12,4,0,0.75,409,282,127
8,2001,GNB,12,16,12,4,0,0.75,390,266,124
9,2001,PIT,13,16,13,3,0,0.813,352,212,140
10,2001,CHI,13,16,13,3,0,0.813,338,203,135
11,2001,STL,14,16,14,2,0,0.875,503,273,230
12,2002,SFO,10,16,10,6,0,0.625,367,351,16
13,2002,PIT,10,16,10,5,1,0.656,390,345,45
14,2002,NYG,10,16,10,6,0,0.625,320,279,41
15,2002,IND,10,16,10,6,0,0.625,349,313,36
16,2002,OAK,11,16,11,5,0,0.688,450,304,146
17,2002,TEN,11,16,11,5,0,0.688,367,324,43
18,2002,TAM,12,16,12,4,0,0.75,346,196,150
19,2002,PHI,12,16,12,4,0,0.75,415,241,174
20,2002,GNB,12,16,12,4,0,0.75,398,328,70
21,2003,SEA,10,16,10,6,0,0.625,404,327,77
22,2003,BAL,10,16,10,6,0,0.625,391,281,110
23,2003,MIA,10,16,10,6,0,0.625,311,261,50
24,2003,GNB,10,16,10,6,0,0.625,442,307,135
25,2003,DEN,10,16,10,6,0,0.625,381,301,80
26,2003,DAL,10,16,10,6,0,0.625,289,260,29
27,2003,CAR,11,16,11,5,0,0.688,325,304,21
28,2003,STL,12,16,12,4,0,0.75,447,328,119
29,2003,PHI,12,16,12,4,0,0.75,374,287,87
30,2003,TEN,12,16,12,4,0,0.75,435,324,111
31,2003,IND,12,16,12,4,0,0.75,447,336,111
32,2003,KAN,13,16,13,3,0,0.813,484,332,152
33,2003,NWE,14,16,14,2,0,0.875,348,238,110
34,2004,NYJ,10,16,10,6,0,0.625,333,261,72
35,2004,GNB,10,16,10,6,0,0.625,424,380,44
36,2004,DEN,10,16,10,6,0,0.625,381,304,77
37,2004,ATL,11,16,11,5,0,0.688,340,337,3
38,2004,SDG,12,16,12,4,0,0.75,446,313,133
39,2004,IND,12,16,12,4,0,0.75,522,351,171
40,2004,PHI,13,16,13,3,0,0.813,386,260,126
41,2004,NWE,14,16,14,2,0,0.875,437,260,177
42,2004,PIT,15,16,15,1,0,0.938,372,251,121
43,2005,WAS,10,16,10,6,0,0.625,359,293,66
