,,,,,,,,,,Goals,,,,,,,,,,,,,,,,,,
Rk,Season,Team,GP,W,L,T,OTL,PTS,G,PPG,SHG,SOG,PIM,GA,PPGA,SHGA,SA,OppPIM,PP%,PK%,PPO,PKO,GDiff,FOW,FOL,FO%,HIT,BL
1,2001-02,MDA,82,29,42,8,3,69,175,43,4,2142,1242,198,46,9,2253,1393,11.5,86.1,373,330,-23,,,,,
2,2001-02,BOS,82,43,24,6,9,101,236,39,14,2595,1444,201,45,5,2057,1243,13.8,87.1,283,349,35,,,,,
3,2001-02,BUF,82,35,35,11,1,82,213,50,7,2295,1201,200,41,6,2120,1311,13.3,86.5,375,304,13,,,,,
4,2001-02,CAR,82,35,26,16,5,91,217,63,4,2347,1010,217,54,11,2214,1304,16.1,83.7,391,332,0,,,,,
5,2001-02,CBJ,82,22,47,8,5,57,164,50,3,2046,1184,255,52,8,2469,1330,14,83,356,306,-91,,,,,
6,2001-02,CGY,82,32,35,12,3,79,201,55,10,2207,1574,220,66,5,2242,1564,15.1,81.5,364,356,-19,,,,,
7,2001-02,CHI,82,41,27,13,1,96,216,54,4,2271,1224,207,63,2,2077,1067,17.9,81.5,302,340,9,,,,,
8,2001-02,COL,82,45,28,8,1,99,212,62,7,2252,997,169,41,7,2177,1036,18,87,344,315,43,,,,,
9,2001-02,DAL,82,36,28,13,5,90,215,60,7,2335,947,213,59,8,2135,1078,17.1,81.5,350,319,2,,,,,
10,2001-02,DET,82,51,17,10,4,116,251,73,9,2538,1045,187,48,7,2159,1056,20.3,86,359,343,64,,,,,
11,2001-02,EDM,82,38,28,12,4,92,205,51,12,2256,1261,182,50,7,2120,1223,15.3,85.6,333,348,23,,,,,
12,2001-02,FLA,82,22,44,10,6,60,180,50,8,2205,1978,250,76,7,2666,1810,14.7,80.7,341,393,-70,,,,,
13,2001-02,LAK,82,40,27,11,4,95,214,73,5,2110,1332,190,49,6,2051,1283,20.7,86.6,353,366,24,,,,,
14,2001-02,MIN,82,26,35,12,9,73,195,55,11,1954,1195,238,62,9,2296,1144,14.7,82.9,373,362,-43,,,,,
15,2001-02,MTL,82,36,31,12,3,87,207,45,7,2092,952,209,38,4,2597,1028,15,86.3,301,277,-2,,,,,
16,2001-02,NJD,82,41,28,9,4,95,205,44,2,2445,992,187,43,8,1900,970,16.9,83.8,261,265,18,,,,,
17,2001-02,NSH,82,28,41,13,0,69,196,48,6,2019,1051,230,50,8,2313,1096,14.2,85.9,337,354,-34,,,,,
18,2001-02,NYI,82,42,28,8,4,96,239,59,17,2319,1245,220,52,10,2285,1316,16.3,85.8,363,366,19,,,,,
19,2001-02,NYR,82,36,38,4,4,80,227,48,8,2392,1745,258,80,5,2618,1378,14.7,79.9,326,398,-31,,,,,
20,2001-02,OTT,82,39,27,9,7,94,243,55,11,2469,1333,208,48,5,2125,1358,16.6,84.4,331,307,35,,,,,
21,2001-02,PHI,82,42,27,10,3,97,234,39,8,2442,1226,192,40,10,2139,1287,13,86.3,300,293,42,,,,,
22,2001-02,PHX,82,40,27,9,6,95,228,53,8,2179,1138,210,60,6,2349,1198,15.6,83.1,340,356,18,,,,,
23,2001-02,PIT,82,28,41,8,5,69,198,47,5,2215,1232,249,57,10,2394,1152,14,83.8,335,352,-51,,,,,
24,2001-02,SJS,82,44,27,8,3,99,248,59,15,2228,1241,199,54,6,2335,1242,16,85.8,369,381,49,,,,,
25,2001-02,STL,82,43,27,8,4,98,227,62,5,2378,1317,188,56,7,1847,1272,17.4,85.2,356,379,39,,,,,
26,2001-02,TBL,82,27,40,11,4,69,178,46,6,2179,1052,219,40,9,2523,1046,14.7,85.3,312,273,-41,,,,,
27,2001-02,TOR,82,43,25,10,4,100,249,54,9,2339,1204,207,51,6,2044,1269,15.5,84.5,349,328,42,,,,,
28,2001-02,VAN,82,42,30,7,3,94,254,69,3,2326,1314,211,57,9,2078,1290,18.5,85,372,379,43,,,,,
29,2001-02,ATL,82,19,47,11,5,54,187,37,3,1984,1272,288,65,12,2911,1163,12.1,81.8,306,358,-101,,,,,
30,2001-02,WSH,82,36,33,11,2,85,228,58,2,2293,1037,240,58,8,2357,1078,19.4,82.2,299,325,-12,,,,,
31,2002-03,MDA,82,40,27,9,6,95,203,56,8,2246,934,193,42,5,2377,972,16.1,87.4,348,333,10,,,,,
32,2002-03,BOS,82,36,31,11,4,87,245,59,10,2636,1346,237,65,11,2322,1234,18.2,82.7,325,375,8,,,,,
33,2002-03,BUF,82,27,37,10,8,72,190,51,8,2345,1248,219,53,11,2296,1205,14.4,85.4,354,363,-29,,,,,
34,2002-03,CAR,82,22,43,11,6,61,171,58,6,2414,1192,240,71,9,2332,1321,13.8,81.9,420,392,-69,,,,,
35,2002-03,CBJ,82,29,42,8,3,69,213,71,12,2143,1479,263,60,9,2641,1547,17.3,85.3,410,409,-50,,,,,
36,2002-03,CGY,82,29,36,13,4,75,186,47,5,2341,1369,228,65,10,2222,1352,12.1,83.3,389,389,-42,,,,,
37,2002-03,CHI,82,30,33,13,6,79,207,39,8,2279,1159,226,56,8,2345,1000,12.7,84.8,308,369,-19,,,,,
38,2002-03,COL,82,42,19,13,8,105,251,68,5,2386,1062,194,63,6,2322,1085,18.7,82.5,363,359,57,,,,,
39,2002-03,DAL,82,46,17,15,4,111,245,62,9,2466,1142,169,50,6,2073,1144,19,85.5,327,346,76,,,,,
40,2002-03,DET,82,48,20,10,4,110,269,76,11,2441,1190,203,55,4,2361,1116,23.8,85.4,319,377,66,,,,,
41,2002-03,EDM,82,36,26,11,9,92,231,56,13,2292,1187,230,61,8,2248,1233,14.5,82.6,386,351,1,,,,,
42,2002-03,FLA,82,24,36,13,9,70,176,49,7,2229,1117,237,66,9,2724,1178,14.1,81.5,347,356,-61,,,,,
43,2002-03,LAK,82,33,36,6,7,79,203,52,8,2272,1098,221,62,4,2141,1092,14.7,83.3,354,371,-18,,,,,
44,2002-03,MIN,82,42,29,10,1,95,198,52,9,2086,1035,178,43,5,2335,1142,14.2,86,366,308,20,,,,,
45,2002-03,MTL,82,30,35,8,9,77,206,44,2,2119,878,234,58,6,2678,906,14,81.7,315,317,-28,,,,,
46,2002-03,NJD,82,46,20,10,6,108,216,36,7,2601,926,166,32,4,1933,920,11.9,87.9,303,264,50,,,,,
47,2002-03,NSH,82,27,35,13,7,74,183,58,2,2316,957,206,61,8,2252,1088,13.9,82.7,418,353,-23,,,,,
48,2002-03,NYI,82,35,34,11,2,83,224,58,12,2427,1218,231,67,5,2318,1200,15.1,83.5,384,405,-7,,,,,
49,2002-03,NYR,82,32,36,10,4,78,210,55,8,2465,1294,231,73,8,2426,1166,16.2,81.2,339,388,-21,,,,,
50,2002-03,OTT,82,52,21,8,1,113,263,83,4,2441,1117,182,50,8,2033,1357,21.2,84.9,391,332,81,,,,,
51,2002-03,PHI,82,45,20,13,4,107,211,47,8,2537,973,166,50,8,2019,975,14.3,85.2,328,338,45,,,,,
52,2002-03,PHX,82,31,35,11,5,78,204,55,4,2297,1411,230,77,11,2458,1387,14.3,81.3,385,412,-26,,,,,
53,2002-03,PIT,82,27,44,6,5,65,189,66,3,2079,1093,255,58,10,2535,971,18.3,83.5,360,352,-66,,,,,
54,2002-03,SJS,82,28,37,9,8,73,214,68,5,2303,1086,239,68,10,2392,1170,18.1,81,375,358,-25,,,,,
55,2002-03,STL,82,41,24,11,6,99,253,80,11,2301,1604,222,71,7,2047,1464,20.5,81.7,391,389,31,,,,,
56,2002-03,TBL,82,36,25,16,5,93,219,70,6,2395,1053,210,55,5,2298,1174,17.9,82.6,391,316,9,,,,,
57,2002-03,TOR,82,44,28,7,3,98,236,63,11,2152,1368,208,56,7,2423,1122,17.5,86.9,359,426,28,,,,,
58,2002-03,VAN,82,45,23,13,1,104,264,87,12,2388,1144,208,62,10,2185,1233,20.8,84.1,419,389,56,,,,,
59,2002-03,ATL,82,31,39,7,5,74,226,64,8,2163,1231,284,65,14,2593,1294,17.3,81.7,371,355,-58,,,,,
60,2002-03,WSH,82,39,29,8,6,92,224,57,8,2223,1246,220,72,4,2454,1109,17.2,81.3,331,384,4,,,,,
61,2003-04,MDA,82,29,35,10,8,76,184,56,5,2438,1119,213,54,4,2443,1041,18.1,84.7,310,353,-29,,,,,
62,2003-04,BOS,82,41,19,15,7,104,209,48,7,2500,1186,188,55,13,2280,1053,16,83.6,300,335,21,,,,,
63,2003-04,BUF,82,37,34,7,4,85,220,58,7,2301,1265,221,53,9,2340,1414,15.8,84.8,367,348,-1,,,,,
64,2003-04,CAR,82,28,34,14,6,76,172,41,9,2394,1086,209,66,9,2150,1229,10.7,81.6,384,359,-37,,,,,
65,2003-04,CBJ,82,25,45,8,4,62,177,58,5,2280,1187,238,50,14,2623,1314,14.5,85.2,401,337,-61,,,,,
66,2003-04,CGY,82,42,30,7,3,94,200,54,11,2248,1390,176,53,2,2090,1400,15.1,84.7,357,346,24,,,,,
67,2003-04,CHI,82,20,43,11,8,59,188,55,5,2401,1300,259,63,14,2521,1286,15.8,83.6,349,383,-71,,,,,
68,2003-04,COL,82,40,22,13,7,100,236,74,7,2410,1265,198,58,14,2325,1259,20.4,83.8,363,357,38,,,,,
69,2003-04,DAL,82,41,26,13,2,97,194,52,5,2196,1123,175,44,11,1902,1096,15.9,85.9,328,311,19,,,,,
70,2003-04,DET,82,48,21,11,2,109,255,63,15,2484,944,189,42,5,2151,922,20.1,86.8,314,317,66,,,,,
