Sport,City,State,Team,Years Played
MLB,Phoenix,Arizona,Arizona Diamondbacks,2001-2018
MLB,Atlanta,Georgia,Atlanta Braves,2001-2018
MLB,Baltimore,Maryland,Baltimore Orioles,2001-2018
MLB,Boston,Massachusetts,Boston Red Sox,2001-2018
MLB,Chicago,Illinois,Chicago White Sox,2001-2018
MLB,Chicago,Illinois,Chicago Cubs,2001-2018
MLB,Cincinnati,Ohio,Cincinnati Reds,2001-2018
MLB,Cleveland,Ohio,Cleveland Indians,2001-2018
MLB,Denver,Colorado,Colorado Rockies,2001-2018
MLB,Detroit,Michigan,Detroit Tigers,2001-2018
MLB,Houston,Texas,Houston Astros,2001-2018
MLB,Kansas City,Missouri,Kansas City Royals,2001-2018
MLB,Los Angeles,California,Los Angeles Angels,2001-2018
MLB,Los Angeles,California,Los Angeles Dodgers,2001-2018
MLB,Miami,Florida,Miami Marlins,2001-2018
MLB,Milwaukee,Wisconsin,Milwaukee Brewers,2001-2018
MLB,Minneapolis,Minnesota,Minnesota Twins,2001-2018
MLB,Montreal,Quebec,Montreal Expos ,2001-2004
MLB,New York,New York,New York Mets,2001-2018
MLB,New York,New York,New York Yankees,2001-2018
MLB,Oakland,California,Oakland Athletics,2001-2018
MLB,Philadelphia,Pennsylvania,Philadelphia Phillies,2001-2018
MLB,Pittsburgh,Pennsylvania,Pittsburgh Pirates,2001-2018
MLB,San Diego,California,San Diego Padres,2001-2018
MLB,San Francisco,California,San Francisco Giants,2001-2018
MLB,Seattle,Washington,Seattle Mariners,2001-2018
MLB,St. Louis,Missouri,St. Louis Cardinals,2001-2018
MLB,Tampa Bay,Florida,Tampa Bay Rays,2001-2018
MLB,Arlington,Texas,Texas Rangers,2001-2018
MLB,Toronto,Ontario,Toronto Blue Jays,2001-2018
MLB,Washington D.C.,Washington D.C.,Washington Nationals,2004-2018
MLS,Atlanta,Georgia,Atlanta Utd,2017-2018
MLS,Chicago,Illinois,Chicago Fire FC,2001-2018
MLS,Carson,California,Chivas USA,2005-2014
MLS,Commerce City,Colorado,Colorado Rapids,2001-2018
MLS,Columbus,Ohio,Columbus Crew,2001-2018
MLS,Washington D.C.,Washington D.C.,D.C. United,2001-2018
MLS,Dallas,Texas,Dallas Burn,2001-2004
MLS,Dallas,Texas,FC Dallas,2001-2018
MLS,Houston,Texas,Houston Dynamo FC,2001-2018
MLS,Kansas City,Missouri,Kansas City Wizards,2001-2010
MLS,Los Angeles,California,LA Galaxy,2001-2018
MLS,Los Angeles,California,Los Angeles FC,2018
MLS,Miami,Florida,Miami Fusion,2001
MLS,St. Paul,Minnesota,Minnesota United FC,2017-2018
MLS,Providence,Rhode Island,New England Revolution,2001-2018
MLS,New York,New York,New York City FC,2015-2018
MLS,Harrison,New Jersey,New York Red Bulls,2001-2018
MLS,Orlando,Florida,Orlando City SC,2015-2018
MLS,Philadelphia,Pennsylvania,Philadelphia Union,2010-2018
MLS,Portland,Oregon,Portland Timbers,2011-2018
MLS,Sandy,Utah,Real Salt Lake,2005-2018
MLS,San Jose,California,San Jose Earthquakes,2001-2018
MLS,Seattle,Washington,Seattle Sounders FC,2009-2018
MLS,Kansas City,Kansas,Sporting Kansas City,2011-2018
MLS,Tampa Bay,Florida,Tampa Bay Rowdies,2001
MLS,Toronto,Ontario,Toronto FC,2007-2018
MLS,Vancouver,British Columbia,Vancouver Whitecaps,2011-2018
NBA,Atlanta,Georgia,Atlanta Hawks,2001-2018
NBA,Boston,Massachusetts,Boston Celtics,2001-2018
NBA,Brooklyn,New York,Brooklyn Nets,2012-2018
NBA,Charlotte,North Carolina,Charlotte Hornets,2001-2002
NBA,Chicago,Illinois,Chicago Bulls,2001-2018
NBA,Cleveland,Ohio,Cleveland Cavaliers,2001-2018
NBA,Dallas,Texas,Dallas Mavericks,2001-2018
NBA,Denver,Colorado,Denver Nuggets,2001-2018
NBA,Detroit,Michigan,Detroit Pistons,2001-2018
NBA,Oakland,California,Golden State Warriors,2001-2018
NBA,Houston,Texas,Houston Rockets,2001-2018
NBA,Indianapolis,Indiana,Indiana Pacers,2001-2018
