Country,Geography,VAR,Variable,TIME,Value
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2001,2909785
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2002,2933403
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2003,2954139
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2004,3007161
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2005,3112356
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2006,3243805
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2007,3366616
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2008,3491113
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2009,3466455
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2010,3470287
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2011,3582418
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2012,3711625
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2013,3845413
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2014,3986640
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2015,4086070
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2016,4079957
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2017,4202884
United States,Houston,EMP_IND_TOTAL,Employment at place of work,2018,4336007
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2001,49623
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2002,50222
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2003,50310
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2004,52758
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2005,55278
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2006,58352
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2007,59454
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2008,57648
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2009,54268
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2010,55147
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2011,56892
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2012,57584
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2013,57973
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2014,58810
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2015,60442
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,62440
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2017,63808
United States,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2018,67082
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2001,110885
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2002,111524
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2003,112064
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2004,114914
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2005,118558
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2006,123813
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2007,127135
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2008,126968
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2009,122019
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2010,121790
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2011,123857
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2012,126988
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2013,128365
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2014,132774
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2015,136443
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2016,137224
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2017,139632
United States,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2018,142401
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2001,87255
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2002,92334
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2003,93542
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2004,93333
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2005,94127
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2006,93989
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2007,94155
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2008,88737
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2009,90496
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2010,96767
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2011,92829
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2012,90938
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2013,89770
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2014,90431
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2015,93375
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2016,95959
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2017,95891
United States,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2018,96575
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2001,87034
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2002,88056
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2003,88950
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2004,91192
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2005,93194
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2006,94179
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2007,94418
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2008,92379
United States,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2009,94418
