LOCATION,Country,TL,Territory level,GEO,Geography,VAR,Variable,TIME,Time,Value,Flag Codes,Flags
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2001,2001,7678,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2002,2002,7994,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2003,2003,8751,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2004,2004,9565,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2005,2005,10369,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2006,2006,10331,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2007,2007,10821,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2008,2008,10545,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2009,2009,9404,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2010,2010,9959,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2011,2011,11277,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2012,2012,10843,,
